Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
10000000,0,343,4,7,4,5,0,0,0,0,Iguatemi/São Paulo,sale,apartment,-23.585487,-46.681676
9979947,0,343,4,6,4,5,1,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.585487,-46.681676
8500000,7200,420,4,6,4,4,1,0,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.564044,-46.660862
8039200,0,278,4,7,4,4,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596469,-46.680587
8000000,0,278,4,5,3,5,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596469,-46.680587
8000000,0,269,4,5,4,4,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.588294,-46.680764
7765616,0,279,4,6,4,4,1,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.585487,-46.681676
7559420,0,377,3,4,3,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.549505,-46.717448
7559420,0,377,3,4,3,4,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5495056,-46.717449
7521000,2500,377,6,7,6,4,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5495056,-46.717449
7500000,0,275,4,5,4,4,1,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.596469,-46.680587
7500000,7428,415,4,5,4,5,0,0,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.5685647,-46.6552694
7200000,8920,387,4,5,4,4,0,0,0,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.557159,-46.692755
7080000,0,275,4,5,4,5,0,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.584482,-46.682312
7000000,4500,400,4,5,4,5,0,1,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5605148,-46.7008639
6950000,5000,302,4,5,4,5,0,0,1,0,Moema/São Paulo,sale,apartment,-23.5983725,-46.6664412
6900000,7000,321,3,4,3,5,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5945472,-46.6804183
6800000,0,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5591963,-46.6993554
6750000,0,275,4,6,4,4,1,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.585487,-46.681676
6500000,2900,319,3,4,3,4,0,0,0,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5605148,-46.7008639
6300000,5170,364,4,6,4,5,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.55069,-46.721693
6000000,0,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699356
6000000,3000,288,3,4,3,5,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6102281,-46.6600813
5900000,4690,540,4,3,2,4,1,1,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5851551,-46.6866078
5850000,3746,286,4,5,4,4,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699355
5814000,0,285,4,6,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699355
5800000,0,286,4,6,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699355
5750000,4500,306,4,5,4,5,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6022054,-46.6598824
5700000,4800,306,4,5,4,5,1,0,1,0,Moema/São Paulo,sale,apartment,-23.602396,-46.659992
5660121,0,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699355
5630000,0,286,4,6,3,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699355
5600000,5400,316,4,5,4,5,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6077328,-46.6560869
5500000,5539,359,4,5,4,5,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,0,0
5500000,2700,253,4,5,4,4,1,1,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5629597,-46.698235
5500000,3300,307,4,5,4,7,0,0,0,0,Perdizes/São Paulo,sale,apartment,-23.5372252,-46.669922
5465644,0,286,4,5,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699355
5320000,3200,270,3,4,3,4,0,0,1,0,Perdizes/São Paulo,sale,apartment,0,0
5000000,4278,310,3,2,1,2,0,0,1,0,Consolação/São Paulo,sale,apartment,-23.5637562,-46.6715708
5000000,4900,292,4,1,0,5,0,1,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5781782,-46.6720848
4999070,4000,286,4,7,4,4,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.559196,-46.699355
4955000,0,241,3,5,3,3,1,0,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.575343,-46.657802
4950000,4300,226,4,5,4,4,0,0,1,0,Moema/São Paulo,sale,apartment,0,0
4900000,0,201,4,5,4,3,1,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.58783,-46.68341
4900000,0,201,3,5,3,3,0,0,1,0,Iguatemi/São Paulo,sale,apartment,-23.585269,-46.681625
4790000,2670,290,4,3,2,2,0,0,0,0,Consolação/São Paulo,sale,apartment,-23.5638355,-46.6697716
4750000,2200,306,4,5,4,3,0,0,0,0,Consolação/São Paulo,sale,apartment,-23.5624751,-46.6683072
4600000,4190,348,4,5,4,4,0,0,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.5682516,-46.6560213
4600000,4000,232,4,6,4,4,1,1,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.563315,-46.663723
4480000,3500,280,2,5,2,3,1,1,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.55201,-46.710127
4450000,4500,286,4,5,4,4,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5591963,-46.6993554
4400000,4200,343,4,5,4,4,1,0,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.573272,-46.6601403
4240000,4000,297,4,4,3,3,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,0,0
4224000,0,300,2,3,2,2,0,0,0,0,Consolação/São Paulo,sale,apartment,-23.5627107,-46.668325
